Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2024-11-12T16:16:44+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-12T16:17:41+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-10,,"Cerrada Amores"
2024-11-12T16:17:55+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-09,,"Cerrada Amores"
2024-11-14T17:15:44+00:00,Operación,Expense,Servicios,-1050.00000000,MXN,"Limpieza Jose",Limpieza,"Cerrada Amores"
2024-11-14T17:15:54+00:00,Operación,Expense,Servicios,-700.00000000,MXN,"Limpieza Adrian",,"Cerrada Amores"
2024-11-14T17:16:25+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-11-16T18:27:54+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2023-11,,"Cerrada Amores"
2024-11-16T18:28:10+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2023-10,,"Cerrada Amores"
2024-11-20T05:11:11+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-11-25T17:42:14+00:00,Operación,Expense,Seguridad,-10000.00000000,MXN,"ESTENSE 1/2",,"Cerrada Amores"
2024-11-25T22:02:28+00:00,Operación,Expense,Seguridad,-10000.00000000,MXN,"ESTENSE 2/2",,"Cerrada Amores"
2024-11-25T22:55:13+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-27T22:53:36+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-11,,"Cerrada Amores"
2024-11-30T06:41:25+00:00,Operación,Income,Donacion,375.00000000,MXN,"Flotador de tinaco ",401,"Cerrada Amores"
2024-11-30T17:35:28+00:00,Operación,Expense,Mantenimiento,-375.00000000,MXN,"Flotador de tinaco",,"Cerrada Amores"
2024-12-01T19:09:51+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-12-01T22:44:33+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-12,,"Cerrada Amores"
2024-12-01T22:44:55+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-12,,"Cerrada Amores"
2024-12-01T22:46:14+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2023-09,,"Cerrada Amores"
2024-12-01T22:46:50+00:00,Operación,"Incoming Transfer",,500.00000000,MXN,2023-08,,"Cerrada Amores"
2024-12-01T22:54:49+00:00,Operación,"Incoming Transfer",,2500.00000000,MXN,2024-12,,"Cerrada Amores"
